Row ID,Order ID,Order Month in word,Order Date,Ship Date,Avg Shipping time,Order year,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales
38,NE-2019-177297,Jun,6/5/2019,6/7/2019,2,2019,Second Class,JJ-99016,Jessica Johnson,Consumer,United States,Chattanooga,Tennessee,60711,South,FUR-BO-29333742,Furniture,Bookcases,Sauder Classic Bookcase,64
39,AL-2016-320164,Sep,9/5/2016,9/6/2016,1,2016,First Class,WM-70086,William Martin,Home Office,United States,Riverside,Wisconsin,16106,Central,FUR-BO-66056584,Furniture,Bookcases,Ikea Billy Bookcase,97
40,IO-2018-110068,Jun,6/26/2018,6/29/2018,3,2018,Standard Class,SG-45636,Sean Gute,Consumer,United States,Greenville,Kansas,34374,Central,TEC-CO-25092209,Technology,Copiers,HP OfficeJet Pro,38
41,MO-2015-987962,Dec,12/28/2015,12/29/2015,1,2015,First Class,EB-57570,Emily Brown,Consumer,United States,Fairview,Idaho,73739,West,TEC-PH-42643571,Technology,Phones,Cisco Unified IP Phone,74
42,LO-2018-300233,Dec,12/17/2018,12/20/2018,3,2018,Standard Class,WS-72531,William Smith,Home Office,United States,Greenville,Maryland,54466,East,FUR-BO-71909817,Furniture,Bookcases,Sauder Classic Bookcase,52
43,ID-2018-833387,Mar,3/26/2018,3/29/2018,3,2018,Standard Class,LL-93872,Linda Lee,Home Office,United States,Riverside,Wisconsin,59369,Central,FUR-CH-56230394,Furniture,Chairs,Ergonomic Mesh Task Chair,40
44,SO-2016-251780,Oct,10/28/2016,11/3/2016,6,2016,Standard Class,EB-18132,Emily Brown,Corporate,United States,Fairview,West Virginia,63691,East,OFF-PA-63755277,Office Supplies,Paper,Recycled Printer Paper,13
45,IO-2015-355240,Aug,8/5/2015,8/10/2015,5,2015,Standard Class,JG-69738,John Garcia,Home Office,United States,Greenville,Kansas,44436,Central,FUR-CH-32581627,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",18
46,SO-2019-476449,Jul,7/14/2019,7/20/2019,6,2019,Standard Class,WJ-48887,William Johnson,Consumer,United States,Greenville,Missouri,79649,Central,TEC-PH-93944337,Technology,Phones,Cisco Unified IP Phone,33
47,ID-2017-391964,Nov,11/12/2017,11/15/2017,3,2017,Standard Class,SS-66616,Sean Smith,Home Office,United States,Greenville,New Hampshire,75117,East,FUR-BO-47249131,Furniture,Bookcases,Bush Somerset Collection Bookcase,11
48,IL-2019-818514,Apr,4/3/2019,4/5/2019,2,2019,Second Class,LW-23048,Linda Wilson,Consumer,United States,San Antonio,Texas,74286,South,TEC-AC-35826753,Technology,Accessories,Noise Cancelling Headphones,123
49,OR-2018-961923,Nov,11/23/2018,11/26/2018,3,2018,Standard Class,LM-74515,Linda Martinez,Corporate,United States,Albany,New York,74377,East,OFF-PA-91389355,Office Supplies,Paper,Hammermill Copy Paper,41
50,IO-2018-887764,Jan,1/14/2018,1/18/2018,4,2018,Standard Class,SW-16872,Susan Wilson,Consumer,United States,Chandler,Arizona,90131,West,TEC-CO-68976064,Technology,Copiers,HP OfficeJet Pro,52
51,GE-2018-238219,Jun,6/15/2018,6/20/2018,5,2018,Standard Class,DJ-91855,Daniel Johnson,Consumer,United States,Greenville,Alabama,63584,South,TEC-PH-65255127,Technology,Phones,Apple iPhone 8,14
52,AR-2015-799019,Dec,12/5/2015,12/11/2015,6,2015,Standard Class,CA-22545,Claire Anderson,Corporate,United States,Salem,Oregon,97035,West,FUR-TA-89806117,Furniture,Tables,Conference Room Table,13
53,CO-2016-233152,Apr,4/6/2016,4/10/2016,4,2016,Standard Class,DG-97072,Daniel Garcia,Corporate,United States,Pittsburgh,Pennsylvania,20727,East,FUR-BO-15268625,Furniture,Bookcases,Bush Somerset Collection Bookcase,40
54,CO-2017-922042,Mar,3/28/2017,4/3/2017,6,2017,Standard Class,DB-17860,Daniel Brown,Consumer,United States,Greenville,Utah,66875,West,OFF-ST-85391155,Office Supplies,Storage,Plastic Stackable Storage,108
55,OK-2017-566090,Dec,12/2/2017,12/7/2017,5,2017,Standard Class,JG-14725,Jessica Garcia,Home Office,United States,Fairview,Alaska,74522,West,TEC-AC-71007792,Technology,Accessories,Logitech Wireless Mouse,35
56,NE-2015-402742,Aug,8/7/2015,8/9/2015,2,2015,Second Class,JJ-31080,Jessica Johnson,Corporate,United States,Springfield,Maine,52949,East,OFF-BI-42399351,Office Supplies,Binders,Cardinal Heavyweight Binders,56
57,KA-2017-241322,Mar,3/9/2017,3/10/2017,1,2017,First Class,CB-29644,Claire Brown,Consumer,United States,Fairview,Idaho,35938,West,OFF-BI-33071620,Office Supplies,Binders,Basic 3 Ring Binder,25
58,WE-2015-110628,Mar,3/15/2015,3/21/2015,6,2015,Standard Class,SD-29811,Sean Davis,Corporate,United States,Greenville,Connecticut,59502,East,OFF-BI-19432530,Office Supplies,Binders,Basic 3 Ring Binder,34
59,NE-2018-323152,Dec,12/18/2018,12/20/2018,2,2018,Second Class,WG-15691,William Garcia,Consumer,United States,Atlanta,Georgia,42826,South,FUR-TA-94696674,Furniture,Tables,Adjustable Height Table,82
60,MI-2018-922617,Sep,9/15/2018,9/16/2018,1,2018,First Class,LG-99662,Linda Garcia,Consumer,United States,Springfield,Idaho,91820,West,TEC-PH-22772089,Technology,Phones,Cisco Unified IP Phone,43
61,MO-2019-817535,Jan,1/3/2019,1/3/2019,0,2019,Same Day,JM-58845,James Martin,Corporate,United States,Savannah,Georgia,42110,South,FUR-TA-33349467,Furniture,Tables,Conference Room Table,26
62,IO-2018-972813,Apr,4/8/2018,4/10/2018,2,2018,Second Class,JT-17261,John Thomas,Consumer,United States,Fairview,Maine,25813,East,FUR-TA-72199645,Furniture,Tables,Conference Room Table,93
63,AL-2016-190685,Nov,11/26/2016,11/27/2016,1,2016,First Class,LB-10667,Laura Brown,Consumer,United States,Greenville,Michigan,61874,Central,TEC-CO-73913718,Technology,Copiers,Canon imageCLASS Copier,54
64,SO-2019-632960,Nov,11/20/2019,11/21/2019,1,2019,First Class,SJ-11271,Susan Johnson,Corporate,United States,Fairview,Vermont,45638,East,OFF-PA-24469183,Office Supplies,Paper,Recycled Printer Paper,64
65,UT-2017-331435,Jul,7/20/2017,7/23/2017,3,2017,Second Class,DM-86201,Daniel Miller,Consumer,United States,Riverside,New Jersey,18630,East,FUR-CH-83271803,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",26
66,GE-2016-588646,May,5/21/2016,5/27/2016,6,2016,Standard Class,KT-40569,Karen Thomas,Home Office,United States,Greenville,Utah,60835,West,TEC-PH-55925853,Technology,Phones,Apple iPhone 8,123
67,MA-2019-388409,Oct,10/23/2019,10/26/2019,3,2019,Standard Class,WS-68128,William Smith,Corporate,United States,Springfield,Michigan,58405,Central,OFF-ST-86361100,Office Supplies,Storage,Fellowes Bankers Box,39
68,LO-2016-355118,Aug,8/2/2016,8/8/2016,6,2016,Standard Class,SL-42140,Sarah Lee,Consumer,United States,Greenville,Alabama,25587,South,TEC-AC-17855684,Technology,Accessories,Logitech Wireless Mouse,69
69,WY-2015-616460,Sep,9/11/2015,9/17/2015,6,2015,Standard Class,LM-47173,Linda Moore,Corporate,United States,Riverside,West Virginia,63786,East,OFF-BI-13854699,Office Supplies,Binders,Cardinal Heavyweight Binders,36
70,SO-2017-264986,Sep,9/17/2017,9/23/2017,6,2017,Standard Class,SL-58454,Susan Lee,Consumer,United States,Greenville,Michigan,61061,Central,OFF-BI-67329133,Office Supplies,Binders,Cardinal Heavyweight Binders,24
71,NE-2018-522219,Nov,11/11/2018,11/15/2018,4,2018,Standard Class,JS-15924,Jessica Smith,Corporate,United States,Riverside,Minnesota,79624,Central,FUR-CH-23502141,Furniture,Chairs,Ergonomic Mesh Task Chair,40
72,NE-2015-685730,Dec,12/26/2015,12/29/2015,3,2015,Second Class,KT-23721,Karen Taylor,Consumer,United States,Greenville,District of Columbia,42540,East,OFF-PA-57245413,Office Supplies,Paper,Recycled Printer Paper,25
73,HA-2017-215363,Apr,4/15/2017,4/18/2017,3,2017,Second Class,JS-31791,John Smith,Home Office,United States,Riverside,Idaho,32388,West,TEC-PH-11269788,Technology,Phones,Cisco Unified IP Phone,94
74,NE-2015-937533,Jul,7/24/2015,7/25/2015,1,2015,First Class,JL-33740,Jessica Lee,Consumer,United States,Greenville,Virginia,95608,East,FUR-TA-80193632,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,35
75,GE-2018-555151,Sep,9/26/2018,10/1/2018,5,2018,Standard Class,LS-27035,Linda Smith,Corporate,United States,Memphis,Tennessee,60509,South,TEC-PH-90957714,Technology,Phones,Apple iPhone 8,22
76,MA-2017-837574,May,5/16/2017,5/21/2017,5,2017,Standard Class,JM-13870,James Martinez,Consumer,United States,Greenville,New Jersey,12442,East,TEC-AC-85499447,Technology,Accessories,Logitech Wireless Mouse,19
77,CO-2016-688514,Jun,6/28/2016,7/1/2016,3,2016,Second Class,JW-32786,John Wilson,Consumer,United States,Knoxville,Tennessee,83863,South,OFF-PA-96251752,Office Supplies,Paper,Recycled Printer Paper,12
78,MI-2016-739000,Apr,4/18/2016,4/19/2016,1,2016,First Class,RA-32554,Robert Anderson,Consumer,United States,Greenville,Kentucky,27708,South,OFF-BI-45266382,Office Supplies,Binders,Basic 3 Ring Binder,48
79,AL-2017-744517,Feb,2/24/2017,2/24/2017,0,2017,Same Day,DG-96710,David Garcia,Corporate,United States,Greenville,Hawaii,80742,West,OFF-BI-71708829,Office Supplies,Binders,Basic 3 Ring Binder,17
80,WI-2018-887589,May,5/11/2018,5/12/2018,1,2018,First Class,SB-74913,Sean Brown,Home Office,United States,Columbus,Ohio,73463,Central,OFF-BI-23239017,Office Supplies,Binders,Cardinal Heavyweight Binders,40
81,WY-2019-652244,Jul,7/15/2019,7/16/2019,1,2019,First Class,JJ-98221,James Johnson,Consumer,United States,Riverside,North Dakota,97192,Central,TEC-CO-50763403,Technology,Copiers,Canon imageCLASS Copier,58
82,LO-2017-350395,Nov,11/16/2017,11/21/2017,5,2017,Standard Class,SD-38338,Susan Davis,Consumer,United States,Springfield,Virginia,96901,East,TEC-CO-45920398,Technology,Copiers,Brother Laser Copier,51
83,SO-2015-189558,Jul,7/4/2015,7/9/2015,5,2015,Standard Class,JJ-75928,John Jackson,Consumer,United States,Riverside,Kansas,34696,Central,TEC-CO-64261341,Technology,Copiers,HP OfficeJet Pro,69
84,NE-2019-645624,Jan,1/12/2019,1/17/2019,5,2019,Standard Class,DL-95219,David Lee,Consumer,United States,Fairview,Alabama,78979,South,TEC-PH-77998080,Technology,Phones,Android Smartphone,58
85,CO-2018-159717,Dec,12/28/2018,12/30/2018,2,2018,Second Class,JA-72794,John Anderson,Home Office,United States,Greenville,Wisconsin,38516,Central,FUR-CH-83393728,Furniture,Chairs,Ergonomic Mesh Task Chair,8
86,NO-2018-317163,Aug,8/19/2018,8/20/2018,1,2018,First Class,DW-53202,Daniel Wilson,Home Office,United States,Greenville,Louisiana,66627,South,TEC-CO-69501919,Technology,Copiers,Brother Laser Copier,44
87,VI-2015-154636,May,5/6/2015,5/9/2015,3,2015,Standard Class,DJ-45079,Daniel Jackson,Home Office,United States,Springfield,Oklahoma,63796,South,TEC-CO-86147846,Technology,Copiers,Brother Laser Copier,68
88,NO-2016-593998,Jan,1/11/2016,1/14/2016,3,2016,Second Class,RS-41955,Robert Smith,Consumer,United States,Greenville,Arkansas,14908,South,OFF-ST-52948581,Office Supplies,Storage,Desktop File Organizer,89
89,GE-2018-244304,Apr,4/6/2018,4/12/2018,6,2018,Standard Class,DA-29002,David Anderson,Consumer,United States,Springfield,Kentucky,10466,South,TEC-AC-26694757,Technology,Accessories,Noise Cancelling Headphones,146
90,NE-2019-649365,Apr,4/1/2019,4/6/2019,5,2019,Standard Class,RT-21161,Robert Taylor,Corporate,United States,Riverside,Alaska,15198,West,OFF-ST-83415372,Office Supplies,Storage,Fellowes Bankers Box,15
91,MI-2017-811777,Aug,8/28/2017,8/31/2017,3,2017,Standard Class,CD-69088,Claire Davis,Consumer,United States,Bellevue,Washington,21514,West,TEC-CO-34040599,Technology,Copiers,Brother Laser Copier,43
92,GE-2019-839691,Sep,9/14/2019,9/20/2019,6,2019,Standard Class,EM-86214,Emily Moore,Corporate,United States,Springfield,Montana,33188,West,FUR-BO-40002423,Furniture,Bookcases,Ikea Billy Bookcase,16
93,MO-2019-378588,Jun,6/10/2019,6/11/2019,1,2019,First Class,RD-13754,Robert Davis,Consumer,United States,Greenville,Hawaii,91625,West,TEC-AC-57144674,Technology,Accessories,Noise Cancelling Headphones,132
94,AL-2016-594058,Feb,2/17/2016,2/20/2016,3,2016,Standard Class,LJ-49814,Laura Jackson,Consumer,United States,Fairview,Kansas,56676,Central,FUR-BO-20742635,Furniture,Bookcases,Sauder Classic Bookcase,73
95,TE-2019-606709,Jul,7/1/2019,7/2/2019,1,2019,First Class,RT-72582,Robert Taylor,Home Office,United States,Greenville,West Virginia,81719,East,OFF-BI-40846066,Office Supplies,Binders,Avery Durable Ring Binders,41
96,CA-2016-525597,May,5/9/2016,5/11/2016,2,2016,Second Class,WA-93217,William Anderson,Consumer,United States,Springfield,Connecticut,85447,East,FUR-CH-54472975,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",44
97,LO-2016-689601,Mar,3/22/2016,3/26/2016,4,2016,Standard Class,DG-57083,David Garcia,Home Office,United States,Bellevue,Washington,76144,West,OFF-PA-27937709,Office Supplies,Paper,Hammermill Copy Paper,76
98,ID-2018-289078,Jul,7/20/2018,7/23/2018,3,2018,Standard Class,MA-31733,Michael Anderson,Consumer,United States,Riverside,Missouri,45224,Central,FUR-TA-69798188,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,82
99,KE-2018-981317,Sep,9/28/2018,9/29/2018,1,2018,First Class,EL-40178,Emily Lee,Consumer,United States,Greenville,Delaware,87746,East,TEC-CO-99684849,Technology,Copiers,Brother Laser Copier,106
100,NO-2015-188271,Oct,10/19/2015,10/25/2015,6,2015,Standard Class,EM-74576,Emily Miller,Consumer,United States,Riverside,North Dakota,76783,Central,OFF-ST-13464828,Office Supplies,Storage,Fellowes Bankers Box,44
101,WI-2019-846298,Nov,11/15/2019,11/16/2019,1,2019,First Class,KM-26279,Karen Martin,Consumer,United States,Fairview,Utah,76882,West,TEC-CO-95546931,Technology,Copiers,Canon imageCLASS Copier,43
102,MI-2015-634685,Dec,12/23/2015,12/28/2015,5,2015,Standard Class,DS-59244,Daniel Smith,Corporate,United States,Boston,Massachusetts,91140,East,FUR-TA-46032241,Furniture,Tables,Conference Room Table,63
103,CO-2019-320369,Aug,8/28/2019,8/30/2019,2,2019,Second Class,KG-68923,Karen Garcia,Consumer,United States,San Diego,California,63879,West,FUR-BO-82108307,Furniture,Bookcases,Bush Somerset Collection Bookcase,65
104,PE-2015-771106,Jul,7/22/2015,7/23/2015,1,2015,First Class,LB-86468,Laura Brown,Corporate,United States,Philadelphia,Pennsylvania,57571,East,TEC-PH-11856482,Technology,Phones,Android Smartphone,47
105,NE-2018-176032,Apr,4/28/2018,5/3/2018,5,2018,Standard Class,WL-37960,William Lee,Home Office,United States,Atlanta,Georgia,90113,South,TEC-PH-47069350,Technology,Phones,Apple iPhone 8,43
106,MA-2018-796975,Aug,8/24/2018,8/27/2018,3,2018,Standard Class,LM-45559,Linda Miller,Consumer,United States,Riverside,Virginia,50901,East,OFF-PA-29650165,Office Supplies,Paper,Premium Photo Paper,65
107,IO-2018-630986,Jun,6/27/2018,6/27/2018,0,2018,Same Day,JT-53730,John Taylor,Consumer,United States,Greenville,Vermont,83040,East,TEC-AC-46396552,Technology,Accessories,USB-C Hub,144
108,IL-2018-199675,Jan,1/4/2018,1/8/2018,4,2018,Standard Class,LT-73328,Linda Thomas,Consumer,United States,New York City,New York,14846,East,TEC-AC-23344434,Technology,Accessories,USB-C Hub,34
109,NE-2017-171554,Jul,7/22/2017,7/27/2017,5,2017,Standard Class,DS-50414,David Smith,Corporate,United States,Buffalo,New York,10116,East,OFF-ST-37913910,Office Supplies,Storage,Fellowes Bankers Box,28
110,NO-2018-775751,Oct,10/14/2018,10/18/2018,4,2018,Standard Class,JJ-20689,Jessica Johnson,Corporate,United States,Riverside,Missouri,57545,Central,TEC-CO-60119743,Technology,Copiers,HP OfficeJet Pro,65
111,NE-2016-363642,Aug,8/17/2016,8/23/2016,6,2016,Standard Class,WT-69118,William Taylor,Consumer,United States,Riverside,South Carolina,16624,South,TEC-PH-17756960,Technology,Phones,Cisco Unified IP Phone,71
112,NE-2018-900370,Dec,12/20/2018,12/22/2018,2,2018,Second Class,MT-72568,Michael Thomas,Corporate,United States,Greenville,North Dakota,97887,Central,TEC-PH-19097025,Technology,Phones,Apple iPhone 8,39
113,RH-2017-785864,Jun,6/28/2017,6/30/2017,2,2017,Second Class,LJ-89400,Laura Jackson,Consumer,United States,Riverside,South Dakota,10495,Central,OFF-BI-30023055,Office Supplies,Binders,Avery Durable Ring Binders,103
114,VE-2017-728370,Feb,2/28/2017,3/5/2017,5,2017,Standard Class,WT-45356,William Taylor,Consumer,United States,Fairview,Rhode Island,74632,East,FUR-BO-62765907,Furniture,Bookcases,Bush Somerset Collection Bookcase,51
115,WE-2017-350745,Feb,2/9/2017,2/10/2017,1,2017,First Class,JA-64196,John Anderson,Consumer,United States,Riverside,Utah,31904,West,FUR-TA-56132247,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,55
116,TE-2017-738049,Oct,10/23/2017,10/29/2017,6,2017,Standard Class,JM-25733,John Martin,Home Office,United States,Greenville,Nebraska,97078,Central,TEC-PH-73888412,Technology,Phones,Android Smartphone,152
117,TE-2015-953331,Dec,12/23/2015,12/27/2015,4,2015,Standard Class,SG-83280,Sean Gute,Consumer,United States,Riverside,Arkansas,44338,South,FUR-TA-39791992,Furniture,Tables,Adjustable Height Table,30
118,HA-2015-182403,Aug,8/11/2015,8/13/2015,2,2015,Second Class,JD-68428,John Davis,Consumer,United States,Riverside,West Virginia,12455,East,OFF-ST-66302467,Office Supplies,Storage,Fellowes Bankers Box,31
119,OH-2016-393546,Jan,1/4/2016,1/4/2016,0,2016,Same Day,JW-15260,John Wilson,Consumer,United States,Mesa,Arizona,12424,West,OFF-ST-27575872,Office Supplies,Storage,Desktop File Organizer,16
120,VE-2015-311204,Apr,4/2/2015,4/8/2015,6,2015,Standard Class,WJ-50561,William Jackson,Corporate,United States,Springfield,Nebraska,59803,Central,OFF-ST-33726494,Office Supplies,Storage,Fellowes Bankers Box,30
121,MA-2017-453924,Jul,7/24/2017,7/28/2017,4,2017,Standard Class,WB-40130,William Brown,Consumer,United States,Riverside,Alabama,98803,South,FUR-TA-95266727,Furniture,Tables,Conference Room Table,16
122,MA-2018-768098,Dec,12/15/2018,12/18/2018,3,2018,Standard Class,ML-75633,Michael Lee,Consumer,United States,Riverside,Alaska,98178,West,FUR-BO-47186251,Furniture,Bookcases,Ikea Billy Bookcase,62
123,MI-2018-526817,Nov,11/28/2018,11/29/2018,1,2018,First Class,SL-52115,Sean Lee,Consumer,United States,Greenville,Wyoming,40354,West,OFF-BI-32048883,Office Supplies,Binders,Basic 3 Ring Binder,43
